"Behind Enemy Lines",Action,"DVDW2 21",161,024543038023
"Behind The Sun",Drama,"T1 96",162,N/A
Below,Horror,"DVDW2 111",163,786936214673
Benchwarmers,Comedy,S11,164,043396138698
"Bendit Like Beckham",Comedy,"DVDW1 26",165,024543084266
"Beneath Loch Ness",Horror,"CDISK1 93",166,786936188660
"Best In Show",Comedy,S5,167,085391895121
"Best of Youth",Drama,S6,168,786936291193
Betsy,Drama,"DVDW2 54",169,012569086425
"Better Than Sex",Short,S5,170,043396003651
"Better Tomorrow 3",Action,S13,171,601643006840
"Better Tomorrow II",Crime,S13,172,013131125993
"Better Tomorrow, A",Action,"DVDW1 83",173,601643006642
"Beverly Hills Cop",Action,"CDISK2 75",174,097360113440
Bewitched,Comedy,140,175,043396102101
"Beyond Borders",Drama,S2,176,097363399247
"Bicentennial Man",Sci-Fi,"CDP1 83 84 85",177,717951004888
"Big Bounce",Crime,"T1 75",178,085392836826
"Big Bullet",Action,S13,179,601643484341
"Big Fish",Drama,"DVDW1 91",180,043396008373
"Big Lebowski",Comedy,"T1 117",181,025192266621
"Big Momma's House",Action,S3,182,024543008194
"Big One",Comedy,"CDISK2 63",183,717951001566
"Big Trouble",Comedy,"CDISK2 124",184,786936165418
"Big Trouble In Little China",Action,"CDISK2 77",185,024543044758
"Big White",Comedy,S9,186,096009444693
"Bigger Than The Sky",Comedy,"DVDW2 118",187,027616927361
"Bill & Ted's Excellent Adventure",Sci-Fi,"GP 30",188,027616869265
"Bio Hunter Special Edition",Sci-Fi,"BO 1 2",189,638652106605
"Bionicle: Mask of Light (2003)",Animation,"DVDW1 85",190,786936207378
Birth,Drama,341,191,794043783821
"Birthday Girl",Drama,"GP 59 60",192,717951010865
"Black Cadillac",Thriller,"CDISK2 24",193,687797600899
"Black Dawn",Action,"CDISK3 77",194,043396128156
"Black Dog",Action,"CDISK2 82",195,025192039126
"Black Hawk Down",Action,223,196,043396067660
"Black Horizon",Adventure,"CDISK1 95",197,012236150305
"Black Mask",Action,"BO 32",198,012236114048
"Black Rain",Action,"BO2 51 52",199,097363222071
"Black Sheep",Comedy,310,200,097363324249
Blade,Action,"BO2 27 28 S19",201,794043470929
"Blade II",Action,"S1 S19",202,794043555428
"Blade Runner",Action,"CDISK2 66",203,085391268222
"Blade Trinity",Action,S19,204,794043781827
"Blair Witch Project",Drama,"GP 76",205,012236112662
Blast,Action,325,206,687797613790
"Bless The Child",Horror,"GP 69 70",207,097363279648
"Blind Fury",Action,"GP2 56",208,043396049192
"Blood The Last Vampire","Thrillers , Vampires , Action , Foreign , Horror , Japanese","PO 43 44+",209,043396309425
"Blood Work",Crime,"BS 68 69",210,085392420124
Bloodrayne,"Supernatural & Paranormal",S9,211,855280001380
"Bloodrayne 2",Action,,212,883476000596
"Bloody Mallory",Action,"DVDW2 70",213,031398181200
Blow,Drama,"T1 118",214,794043528422
"Blown Away",Action,"RP 9 10 11 12",215,012236146636
"Blue Collar Comedy Tour",Comedy,"DVDW2 14",216,085392465729
"Blue's Big Musical Movie",Family,"CDISK3 93",217,097368397248
"Blues Brothers",Action,285,218,025192674426
